K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_0.1,random,0.001,0,200,0.7179222222222222,0.012824749413959885
Kpct_0.1,uncertain,0.001,0,200,0.7025555555555556,0.0
Kpct_0.1,uniform,0.001,0,200,0.7505555555555555,0.0
Kpct_0.1,random,0.001,0,400,0.7172000000000001,0.013693812245943808
Kpct_0.1,uncertain,0.001,0,400,0.692,0.0
Kpct_0.1,uniform,0.001,0,400,0.7465555555555555,0.0
Kpct_0.1,random,0.001,0,800,0.7142777777777779,0.014452924860976653
Kpct_0.1,uncertain,0.001,0,800,0.6806666666666666,0.0
Kpct_0.1,uniform,0.001,0,800,0.7404444444444445,0.0
Kpct_0.1,random,0.001,5,200,0.6996777777777778,0.02318042224181092
Kpct_0.1,uncertain,0.001,5,200,0.7203333333333334,0.0
Kpct_0.1,uniform,0.001,5,200,0.737,0.0
Kpct_0.1,random,0.001,5,400,0.6820444444444445,0.028610936353295858
Kpct_0.1,uncertain,0.001,5,400,0.7054444444444444,0.0
Kpct_0.1,uniform,0.001,5,400,0.7301111111111112,0.0
Kpct_0.1,random,0.001,5,800,0.6707333333333334,0.032078691823947604
Kpct_0.1,uncertain,0.001,5,800,0.6921111111111111,0.0
Kpct_0.1,uniform,0.001,5,800,0.7224444444444444,0.0
Kpct_0.1,random,0.001,10,200,0.6967888888888888,0.021194831072634934
Kpct_0.1,uncertain,0.001,10,200,0.7267777777777777,0.0
Kpct_0.1,uniform,0.001,10,200,0.7328888888888889,0.0
Kpct_0.1,random,0.001,10,400,0.6806555555555556,0.02574113535535519
Kpct_0.1,uncertain,0.001,10,400,0.7121111111111111,0.0
Kpct_0.1,uniform,0.001,10,400,0.7265555555555555,0.0
Kpct_0.1,random,0.001,10,800,0.6668555555555555,0.03238628920384463
Kpct_0.1,uncertain,0.001,10,800,0.6963333333333334,0.0
Kpct_0.1,uniform,0.001,10,800,0.7165555555555555,0.0
Kpct_0.1,random,0.0001,0,200,0.7149333333333333,0.008536949465285557
Kpct_0.1,uncertain,0.0001,0,200,0.729,0.0
Kpct_0.1,uniform,0.0001,0,200,0.747,0.0
Kpct_0.1,random,0.0001,0,400,0.7195555555555555,0.00968656954910405
Kpct_0.1,uncertain,0.0001,0,400,0.7264444444444444,0.0
Kpct_0.1,uniform,0.0001,0,400,0.7531111111111111,0.0
Kpct_0.1,random,0.0001,0,800,0.7210222222222222,0.010061269095023214
Kpct_0.1,uncertain,0.0001,0,800,0.7205555555555555,0.0
Kpct_0.1,uniform,0.0001,0,800,0.7548888888888889,0.0
Kpct_0.1,random,0.0001,5,200,0.7189222222222221,0.013030453409201958
Kpct_0.1,uncertain,0.0001,5,200,0.7395555555555555,0.0
Kpct_0.1,uniform,0.0001,5,200,0.7442222222222222,0.0
Kpct_0.1,random,0.0001,5,400,0.7173888888888889,0.01621333470394731
Kpct_0.1,uncertain,0.0001,5,400,0.7402222222222222,0.0
Kpct_0.1,uniform,0.0001,5,400,0.7471111111111111,0.0
Kpct_0.1,random,0.0001,5,800,0.7107333333333334,0.021594878222210446
Kpct_0.1,uncertain,0.0001,5,800,0.7351111111111112,0.0
Kpct_0.1,uniform,0.0001,5,800,0.7436666666666667,0.0
Kpct_0.1,random,0.0001,10,200,0.7153444444444443,0.013794385152242022
Kpct_0.1,uncertain,0.0001,10,200,0.7385555555555555,0.0
Kpct_0.1,uniform,0.0001,10,200,0.7418888888888889,0.0
Kpct_0.1,random,0.0001,10,400,0.7136888888888888,0.017222924716855402
Kpct_0.1,uncertain,0.0001,10,400,0.7401111111111112,0.0
Kpct_0.1,uniform,0.0001,10,400,0.7444444444444445,0.0
Kpct_0.1,random,0.0001,10,800,0.7065777777777777,0.021633981043776212
Kpct_0.1,uncertain,0.0001,10,800,0.7347777777777778,0.0
Kpct_0.1,uniform,0.0001,10,800,0.7384444444444445,0.0
Kpct_0.1,random,1e-05,0,200,0.7306999999999999,0.001742036554732622
Kpct_0.1,uncertain,1e-05,0,200,0.7343333333333333,0.0
Kpct_0.1,uniform,1e-05,0,200,0.7344444444444445,0.0
Kpct_0.1,random,1e-05,0,400,0.7258333333333333,0.003888015775002309
Kpct_0.1,uncertain,1e-05,0,400,0.7351111111111112,0.0
Kpct_0.1,uniform,1e-05,0,400,0.7367777777777778,0.0
Kpct_0.1,random,1e-05,0,800,0.7184666666666667,0.0074158322460284015
Kpct_0.1,uncertain,1e-05,0,800,0.733,0.0
Kpct_0.1,uniform,1e-05,0,800,0.74,0.0
Kpct_0.1,random,1e-05,5,200,0.7297111111111111,0.002535768809807037
Kpct_0.1,uncertain,1e-05,5,200,0.7334444444444445,0.0
Kpct_0.1,uniform,1e-05,5,200,0.7346666666666667,0.0
Kpct_0.1,random,1e-05,5,400,0.7259333333333333,0.0043405068828421345
Kpct_0.1,uncertain,1e-05,5,400,0.7342222222222222,0.0
Kpct_0.1,uniform,1e-05,5,400,0.734,0.0
Kpct_0.1,random,1e-05,5,800,0.7209222222222224,0.009031501796011438
Kpct_0.1,uncertain,1e-05,5,800,0.7371111111111112,0.0
Kpct_0.1,uniform,1e-05,5,800,0.7371111111111112,0.0
Kpct_0.1,random,1e-05,10,200,0.7286444444444445,0.001979400083701633
Kpct_0.1,uncertain,1e-05,10,200,0.734,0.0
Kpct_0.1,uniform,1e-05,10,200,0.7337777777777778,0.0
Kpct_0.1,random,1e-05,10,400,0.7229,0.005046805614800328
Kpct_0.1,uncertain,1e-05,10,400,0.7343333333333333,0.0
Kpct_0.1,uniform,1e-05,10,400,0.732,0.0
Kpct_0.1,random,1e-05,10,800,0.7168666666666668,0.010202130012410332
Kpct_0.1,uncertain,1e-05,10,800,0.7355555555555555,0.0
Kpct_0.1,uniform,1e-05,10,800,0.7334444444444445,0.0
Kpct_1,random,0.001,0,200,0.7975777777777777,0.007120618644229118
