K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_1,uniform,0.001,0,800,0.7682222222222223,0.0
Kpct_1,random,0.001,5,200,0.7931333333333332,0.005636477316836274
Kpct_1,uncertain,0.001,5,200,0.6315555555555555,0.0
Kpct_1,uniform,0.001,5,200,0.7758888888888889,0.0
Kpct_1,random,0.001,5,400,0.7903666666666667,0.007110425314153025
Kpct_1,uncertain,0.001,5,400,0.6628888888888889,0.0
Kpct_1,uniform,0.001,5,400,0.7721111111111111,0.0
Kpct_1,random,0.001,5,800,0.7824222222222222,0.009841810533021921
Kpct_1,uncertain,0.001,5,800,0.6511111111111111,0.0
Kpct_1,uniform,0.001,5,800,0.763,0.0
Kpct_1,random,0.001,10,200,0.7876222222222222,0.006424720775024928
Kpct_1,uncertain,0.001,10,200,0.6051111111111112,0.0
Kpct_1,uniform,0.001,10,200,0.7627777777777778,0.0
Kpct_1,random,0.001,10,400,0.790711111111111,0.007656063521286608
Kpct_1,uncertain,0.001,10,400,0.6506666666666666,0.0
Kpct_1,uniform,0.001,10,400,0.7718888888888888,0.0
Kpct_1,random,0.001,10,800,0.7811111111111111,0.010688865788840835
Kpct_1,uncertain,0.001,10,800,0.6528888888888889,0.0
Kpct_1,uniform,0.001,10,800,0.76,0.0
Kpct_1,random,0.0001,0,200,0.7240333333333334,0.009509845450575252
Kpct_1,uncertain,0.0001,0,200,0.4232222222222222,0.0
Kpct_1,uniform,0.0001,0,200,0.6695555555555556,0.0
Kpct_1,random,0.0001,0,400,0.7738222222222222,0.006004566163746957
Kpct_1,uncertain,0.0001,0,400,0.523,0.0
Kpct_1,uniform,0.0001,0,400,0.752,0.0
Kpct_1,random,0.0001,0,800,0.7867444444444445,0.004967809960381859
Kpct_1,uncertain,0.0001,0,800,0.6024444444444444,0.0
Kpct_1,uniform,0.0001,0,800,0.774,0.0
Kpct_1,random,0.0001,5,200,0.6751666666666667,0.005066288972277167
Kpct_1,uncertain,0.0001,5,200,0.45366666666666666,0.0
Kpct_1,uniform,0.0001,5,200,0.6188888888888889,0.0
Kpct_1,random,0.0001,5,400,0.7554777777777778,0.005424919638706171
Kpct_1,uncertain,0.0001,5,400,0.547,0.0
Kpct_1,uniform,0.0001,5,400,0.7184444444444444,0.0
Kpct_1,random,0.0001,5,800,0.7864333333333334,0.005708873318606855
Kpct_1,uncertain,0.0001,5,800,0.6083333333333333,0.0
Kpct_1,uniform,0.0001,5,800,0.7633333333333333,0.0
Kpct_1,random,0.0001,10,200,0.6307666666666667,0.005620608024751538
Kpct_1,uncertain,0.0001,10,200,0.4212222222222222,0.0
Kpct_1,uniform,0.0001,10,200,0.5645555555555556,0.0
Kpct_1,random,0.0001,10,400,0.7314888888888889,0.005608679341040765
Kpct_1,uncertain,0.0001,10,400,0.5113333333333333,0.0
