K,strategy,lr,gamma,epochs,acc,acc_std
Kpct_0.1,uniform,1e-05,10,400,0.6292222222222222,0.0
Kpct_0.1,random,1e-05,10,800,0.6149666666666666,0.006452494971561376
Kpct_0.1,uncertain,1e-05,10,800,0.6288888888888889,0.0
Kpct_0.1,uniform,1e-05,10,800,0.6324444444444445,0.0
Kpct_1,random,0.001,0,200,0.7854111111111112,0.004423855086591382
Kpct_1,uncertain,0.001,0,200,0.7663333333333333,0.0
Kpct_1,uniform,0.001,0,200,0.7844444444444445,0.0
Kpct_1,random,0.001,0,400,0.7903777777777778,0.004937935791051079
Kpct_1,uncertain,0.001,0,400,0.7753333333333333,0.0
Kpct_1,uniform,0.001,0,400,0.7908888888888889,0.0
Kpct_1,random,0.001,0,800,0.7926888888888889,0.004777726097911723
Kpct_1,uncertain,0.001,0,800,0.7766666666666666,0.0
Kpct_1,uniform,0.001,0,800,0.7941111111111111,0.0
Kpct_1,random,0.001,5,200,0.7819111111111111,0.0047255021289139545
Kpct_1,uncertain,0.001,5,200,0.7474444444444445,0.0
Kpct_1,uniform,0.001,5,200,0.7673333333333333,0.0
Kpct_1,random,0.001,5,400,0.7843444444444444,0.005376779062451777
Kpct_1,uncertain,0.001,5,400,0.753,0.0
Kpct_1,uniform,0.001,5,400,0.7736666666666666,0.0
Kpct_1,random,0.001,5,800,0.784911111111111,0.00781559062324298
Kpct_1,uncertain,0.001,5,800,0.7502222222222222,0.0
Kpct_1,uniform,0.001,5,800,0.7756666666666666,0.0
Kpct_1,random,0.001,10,200,0.775,0.005364492313143709
Kpct_1,uncertain,0.001,10,200,0.7378888888888889,0.0
Kpct_1,uniform,0.001,10,200,0.7605555555555555,0.0
Kpct_1,random,0.001,10,400,0.7752777777777778,0.007770989100811966
Kpct_1,uncertain,0.001,10,400,0.7484444444444445,0.0
Kpct_1,uniform,0.001,10,400,0.7657777777777778,0.0
Kpct_1,random,0.001,10,800,0.7709777777777779,0.010736208494599312
Kpct_1,uncertain,0.001,10,800,0.7443333333333333,0.0
Kpct_1,uniform,0.001,10,800,0.7657777777777778,0.0
Kpct_1,random,0.0001,0,200,0.6861555555555555,0.0026602701060300235
Kpct_1,uncertain,0.0001,0,200,0.6722222222222223,0.0
